area, latitude, longitude
Sinoville, -25.678837, 28.224031
Pretoria central, -25.750784, 25.191473
Willow park manor, -25.7460101, 28.333127
Montana, -25.672045, 28.246145
Hillcrest, -25.756648, 28.237450
Hatfield, -25.749322, 28.239062
Olympus AH, -25.810336, 28.340956
Hazeldean, -25.782050, 28.350174
Equestria, -25.761416, 28.339228
Weverley, -25.701721, 28.256005
Philip Nel Park, -25.738611, 28.142960
Blyde Riverwalk Estate, -25.845655, 28.116636
Mooikloof, -25.837285, 28.337752
Lynnwood, -25.765036, 28.267186
Annlin, -25.658339, 28.195224
Waterkloof, -25.780056, 28.247305
Menlyn, -25.781959, 28.278003
Pretoria North, -25.679014, 28.170538
Menlo Park, -25.679014, 28.170538
Arcadia, -25.747480, 28.226901
Faerie Glen, -25.786811, 28.318479
Sunnyside, -25.753989, 28.208242
Nieuw Muckleneuk, -25.774107, 28.232033
Silver Lakes Golf Estate, -25.772101, 28.372919
Waterkloof Ridge, -25.795781, 28.240088

