Property_type,Property_city,Property_location,Bedrooms,Bathrooms,Parking_space,Floor_size,Property_price_(per_month)
3 Bedroom House,Pritoria,Leeuwenhof Estate,1,1,1,54 m²,R 24 000
2 Bedroom Apartment,Pritoria,Sinoville,1,1,1,51 m²,R 10 600
2 Bedroom Apartment,Pritoria,Pretoria Central,3,2,2,95 m²,R 14 000
2 Bedroom Townhouse,Pritoria,Mooikloof Ridge,2,1,1,60 m²,R 12 000
1 Bedroom Apartment,Pritoria,Willow Park Manor,2,1,1,75 m²,R 7 000
1 Bedroom Apartment,Pritoria,Meyerspark,0.5,1,1,45 m²,R 5 200
2 Bedroom Apartment,Pritoria,Montana,3,3,2,80 m²,R 11 000
4 Bedroom House,Pritoria,Wapadrand,2,2,2,75 m²,R 30 000
2 Bedroom Apartment,Pritoria,Elarduspark,2,1,1,48 m²,R 9 500
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,3,160 m²,R 10 500
1 Bedroom Apartment,Pritoria,Hillcrest,1,1,1,48 m²,R 7 000
3 Bedroom Townhouse,Pritoria,Rietvalleirand,1,1,1,98 m²,R 21 000
1 Bedroom Apartment,Pritoria,Hillcrest,2,2,3,42 m²,R 7 000
2 Bedroom Townhouse,Pritoria,Rietvalleirand,4,3,1,,R 13 800
1 Bedroom Apartment,Pritoria,Hatfield,2,2,2,,R 8 500
2 Bedroom Apartment,Pritoria,Olympus AH,2,1,1,106 m²,R 10 000
3 Bedroom Townhouse,Pritoria,Olympus AH,2,2,1,237 m²,R 25 000
2 Bedroom Apartment,Pritoria,Hazeldean,3,2.5,2,98 m²,R 9 800
2 Bedroom Apartment,Pritoria,Hatfield,2,2,1,43 m²,R 3 500
2 Bedroom Apartment,Pritoria,Hazeldean,2,1,1,105 m²,R 8 800
2 Bedroom Apartment,Pritoria,Hazeldean,2,2,1,123 m²,R 9 800
2 Bedroom Apartment,Pritoria,Hazeldean,2,2,2,90 m²,R 8 200
5 Bedroom House,Pritoria,Mooikloof Equestrian Estate,2,2,4,105 m²,R 70 000
2 Bedroom Apartment,Pritoria,Hazeldean,5,5,1,55 m²,R 8 800
1 Bedroom Apartment,Pritoria,Hatfield,2,2,1,74 m²,R 9 500
1 Bedroom Apartment,Pritoria,Bronberg,1,1,1,128 m²,R 9 150
2 Bedroom Townhouse,Pritoria,Hazeldean,1,1,2,83 m²,R 12 500
2 Bedroom Apartment,Pritoria,Equestria,2,2,1,58 m²,R 8 000
2 Bedroom Apartment,Pritoria,Waverley,2,1,2,97 m²,R 9 750
2 Bedroom Apartment,Pritoria,Paramount Estate,2,1,1,105 m²,R 8 500
3 Bedroom Apartment,Pritoria,Hazeldean,2,2,1,105 m²,R 9 500
2 Bedroom Apartment,Pritoria,Hazeldean,3,2,8,90 m²,R 8 800
4 Bedroom House,Pritoria,Lynnwood Glen,2,2,1,80 m²,R 25 000
2 Bedroom Apartment,Pritoria,Hazeldean,4,3,1,,R 8 200
3 Bedroom House,Pritoria,Annlin,2,2,2,,R 10 000
2 Bedroom Apartment,Pritoria,Hazelwood,3,2,,,R 17 000
2 Bedroom Apartment,Pritoria,Equestria,2,1,1,95 m²,R 8 600
0.5 Bedroom Apartment,Pritoria,Villieria,2,1,3,81 m²,R 5 047
2 Bedroom Apartment,Pritoria,Philip Nel Park,0.5,1,1,1 m²,R 6 800
2 Bedroom Apartment,Pritoria,Wolmer,2,1,1,75 m²,R 7 800
2 Bedroom Apartment,Pritoria,Hatfield,2,1,1,61 m²,R 10 000
