bedrooms,bathrooms,parking_space,price
1,1,1,10600
3,2,2,14000
2,1,1,7000
3,3,2,11000
1,1,1,7000
2,2,3,7000
2,2,2,8500
2,1,1,10000
3,3,2,9800
2,2,1,3500
2,1,1,8800
2,2,1,9800
2,2,2,8200
5,5,1,8800
2,2,1,9500
2,2,1,8000
2,1,2,9750
2,2,1,9500
4,3,1,8200
2,1,1,8600
1,1,1,6800
2,1,1,10000
3,2,1,8800
2,2,1,9750
2,1,1,8500
1,1,1,9265
1,1,2,8800
5,6,2,7500
1,1,1,10500
3,2,3,4700
1,1,1,9440
2,2,3,10250
2,2,1,10250
2,2,4,11000
1,1,1,12000
2,1,2,9500
2,1,1,22000
2,1,2,9200
2,2,1,10250
2,1,2,9400
2,1,2,11500
2,2,2,11000
2,1,1,8600
2,2,3,10250
2,2,1,10200
2,1,2,9750
3,2,1,11206
2,2,1,12000
2,2,2,10000
2,2,2,55700
1,2,1,3900
2,1,2,7800
2,1,1,8400
2,2,1,5500
2,5,2,10500
2,1,2,10500
2,2,3,10250
2,3,2,14000
2,1,1,9250
2,2,4,9500
2,1,1,7350
1,1,3,21000
1,1,1,8100
2,2,1,10600
1,1,2,6050
2,2,2,9800
2,2,2,16300
2,2,1,9800
3,2,1,9500
2,1,1,6230
1,1,1,6680
2,1,1,6340
1,1,1,6680
2,2,1,9800
2,3,2,14000
2,2,2,10250
2,2,1,13000
1,1,1,5831
2,1,1,5950
3,2,1,9800
2,1,1,8000
2,2,2,12000
1,1,1,14000
3,3,1,21000
2,1,1,5950
3,2,1,9950
2,1,1,11500
2,2,2,13550
2,2,2,10750
1,1,1,5000
2,1,1,6200
2,1,1,11800
2,2,1,9500
2,2,4,15500
2,2,2,11206
2,2,2,10600
2,1,2,8995
2,2,1,10980
3,1,1,7500
1,1,2,13000
2,2,2,13000
2,3,2,14000
2,2,2,10550
2,2,1,6500
2,1,4,10250
2,2,2,8900
1,1,2,7000
2,2,2,6800
2,1,4,10950
2,2,2,9000
1,1,3,5400
2,1,1,7103
2,2,2,9750
2,1,1,10950
3,2,1,10000
2,2,2,11206
3,2,1,7250
2,1,2,14000
2,1,1,7600
1,3,1,30000
1,1,1,9990
2,1,1,7600
3,3,2,4499
3,1,2,21900
2,2,2,8900
1,1,1,12000
1,1,1,10200
1,1,1,8900
1,1,1,6000
2,2,1,9500
1,1,1,5100
2,2,1,7600
3,2,1,14500
2,2,2,16500
2,1,1,7800
2,2,2,10500
2,1,1,6990
2,1,1,7500
2,2,2,9650
1,1,1,15000
1,1,1,30000
1,1,1,30000
2,2,2,11500
2,1,1,6700
2,2,2,10000
2,2,2,11235
2,2,1,9800
2,2,2,12320
1,1,1,9500
1,1,2,8000
2,2,2,11500
2,2,2,45000
2,1,1,9600
3,2,3,10500
2,2,2,13900
2,1,2,7150
1,1,1,7950
2,2,4,10250
2,2,2,21500
2,1,1,8000
5,1,2,1499
1,1,1,16000
3,2,2,9500
1,1,1,8500
2,2,1,9500
2,2,3,19500
1,1,1,3200
2,2,1,9500
1,1,1,5000
2,2,2,13500
1,1,1,9500
2,2,2,16000
1,1,1,30000
1,1,1,9500
2,2,2,10200
1,1,1,4500
3,1,1,11000
6,1,1,6900
1,2,1,9800
2,1,1,4500
2,2,2,9800
2,2,2,18500
2,1,2,3800
2,1,2,10175
2,1,2,9250
2,1,3,8800
2,2,2,17500
2,2,2,8900
2,1,2,19500
2,2,1,9200
2,2,2,11000
2,2,1,20000
2,2,3,8900
2,1,1,8400
3,2,4,9800
2,1,1,4000
2,2,1,12000
2,2,2,8600
2,2,4,9800
2,2,1,10600
1,1,2,18000
2,2,2,14500
2,2,2,14500
2,2,2,16500
2,2,1,9500
2,2,2,11500
3,2,2,16500
1,1,1,3303
1,2,1,8900
2,1,3,14000
1,1,2,10250
2,2,3,12000
1,1,1,14500
2,1,1,6000
1,1,1,55700
1,1,2,9450
1,1,1,10500
3,2,2,4550
3,2,2,6800
1,1,2,8300
1,1,1,8300
2,2,2,8900
2,2,1,20000
2,1,2,8400
1,1,1,13000
2,2,2,56000
2,1,2,8500
2,2,2,14500
2,2,1,19500
2,1,1,11000
2,2,2,14000
1,1,4,5600
2,2,1,17000
1,1,1,6050
2,1,1,7500
1,1,1,9000
4,1,1,8000
3,1,1,11000
3,2,3,10400
5,2,2,16000
3,3,1,14000
2,2,2,10800
4,1,1,12000
1,1,1,12000
3,1,1,12000
3,2,2,11206
2,1,1,6700
1,1,1,7300
2,2,1,7680
