Property_type,Property_city,Property_location,Bedrooms,Bathrooms,Parking_space,property_price_(per_month)
Apartment,Pretoria,Sinoville,1,1,1,10600
Apartment,Pretoria,"Pretoria Central",3,2,2,14000
Apartment,Pretoria,"Willow Park Manor",2,1,1,7000
Apartment,Pretoria,Montana,3,3,2,11000
Apartment,Pretoria,Hillcrest,1,1,1,7000
Apartment,Pretoria,Hillcrest,2,2,3,7000
Apartment,Pretoria,Hatfield,2,2,2,8500
Apartment,Pretoria,"Olympus AH",2,1,1,10000
Apartment,Pretoria,Hazeldean,3,3,2,9800
Apartment,Pretoria,Hatfield,2,2,1,3500
Apartment,Pretoria,Hazeldean,2,1,1,8800
Apartment,Pretoria,Hazeldean,2,2,1,9800
Apartment,Pretoria,Hazeldean,2,2,2,8200
Apartment,Pretoria,Hazeldean,5,5,1,8800
Apartment,Pretoria,Hatfield,2,2,1,9500
Apartment,Pretoria,Equestria,2,2,1,8000
Apartment,Pretoria,Waverley,2,1,2,9750
Apartment,Pretoria,Hazeldean,2,2,1,9500
Apartment,Pretoria,Hazeldean,4,3,1,8200
Apartment,Pretoria,Equestria,2,1,1,8600
Apartment,Pretoria,"Philip Nel Park",1,1,1,6800
Apartment,Pretoria,Hatfield,2,1,1,10000
Apartment,Pretoria,Hazeldean,3,2,1,8800
Apartment,Pretoria,Waverley,2,2,1,9750
Apartment,Pretoria,"Blyde Riverwalk Estate",2,1,1,8500
Apartment,Pretoria,"Willow Park Manor",1,1,1,9265
Apartment,Pretoria,Hazeldean,1,1,2,8800
Apartment,Pretoria,Mooikloof,5,6,2,7500
Apartment,Pretoria,Montana,1,1,1,10500
Apartment,Pretoria,Hatfield,3,2,3,4700
Apartment,Pretoria,"Olympus AH",1,1,1,9440
Apartment,Pretoria,Waverley,2,2,3,10250
Apartment,Pretoria,Waverley,2,2,1,10250
Apartment,Pretoria,"Blyde Riverwalk Estate",2,2,4,11000
Apartment,Pretoria,"Blyde Riverwalk Estate",1,1,1,12000
Apartment,Pretoria,Waverley,2,1,2,9500
Apartment,Pretoria,Lynnwood,2,1,1,22000
Apartment,Pretoria,Hatfield,2,1,2,9200
Apartment,Pretoria,Waverley,2,2,1,10250
Apartment,Pretoria,Hatfield,2,1,2,9400
Apartment,Pretoria,Hatfield,2,1,2,11500
Apartment,Pretoria,Waverley,2,2,2,11000
Apartment,Pretoria,Equestria,2,1,1,8600
Apartment,Pretoria,Waverley,2,2,3,10250
Apartment,Pretoria,Montana,2,2,1,10200
Apartment,Pretoria,Waverley,2,1,2,9750
Apartment,Pretoria,Annlin,3,2,1,11206
Apartment,Pretoria,"Blyde Riverwalk Estate",2,2,1,12000
Apartment,Pretoria,Waterkloof,2,2,2,10000
Apartment,Pretoria,Menlyn,2,2,2,55700
Apartment,Pretoria,Hatfield,1,2,1,3900
Apartment,Pretoria,"Olympus AH",2,1,2,7800
Apartment,Pretoria,Montana,2,1,1,8400
Apartment,Pretoria,"Pretoria North",2,2,1,5500
Apartment,Pretoria,"Blyde Riverwalk Estate",2,5,2,10500
Apartment,Pretoria,Hatfield,2,1,2,10500
Apartment,Pretoria,Waverley,2,2,3,10250
Apartment,Pretoria,"Menlo Park",2,3,2,14000
Apartment,Pretoria,Hazeldean,2,1,1,9250
Apartment,Pretoria,Hazeldean,2,2,4,9500
Apartment,Pretoria,Arcadia,2,1,1,7350
Apartment,Pretoria,Menlyn,1,1,3,21000
Apartment,Pretoria,Hatfield,1,1,1,8100
Apartment,Pretoria,Sinoville,2,2,1,10600
Apartment,Pretoria,"Philip Nel Park",1,1,2,6050
Apartment,Pretoria,Hazeldean,2,2,2,9800
Apartment,Pretoria,"Blyde Riverwalk Estate",2,2,2,16300
Apartment,Pretoria,Hazeldean,2,2,1,9800
Apartment,Pretoria,Hazeldean,3,2,1,9500
Apartment,Pretoria,"Philip Nel Park",2,1,1,6230
Apartment,Pretoria,Hatfield,1,1,1,6680
Apartment,Pretoria,"Philip Nel Park",2,1,1,6340
Apartment,Pretoria,Hatfield,1,1,1,6680
Apartment,Pretoria,Hazeldean,2,2,1,9800
Apartment,Pretoria,"Menlo Park",2,3,2,14000
Apartment,Pretoria,Waverley,2,2,2,10250
Apartment,Pretoria,"Blyde Riverwalk Estate",2,2,1,13000
Apartment,Pretoria,Arcadia,1,1,1,5831
Apartment,Pretoria,"Philip Nel Park",2,1,1,5950
Apartment,Pretoria,Hazeldean,3,2,1,9800
Apartment,Pretoria,Hillcrest,2,1,1,8000
Apartment,Pretoria,"Blyde Riverwalk Estate",2,2,2,12000
Apartment,Pretoria,Menlyn,1,1,1,14000
Apartment,Pretoria,Arcadia,3,3,1,21000
Apartment,Pretoria,"Philip Nel Park",2,1,1,5950
Apartment,Pretoria,"Faerie Glen",3,2,1,9950
Apartment,Pretoria,Hatfield,2,1,1,11500
Apartment,Pretoria,"Menlo Park",2,2,2,13550
Apartment,Pretoria,"Olympus AH",2,2,2,10750
Apartment,Pretoria,Montana,1,1,1,5000
Apartment,Pretoria,Arcadia,2,1,1,6200
Apartment,Pretoria,Hillcrest,2,1,1,11800
Apartment,Pretoria,Annlin,2,2,1,9500
Apartment,Pretoria,"Blyde Riverwalk Estate",2,2,4,15500
Apartment,Pretoria,Annlin,2,2,2,11206
Apartment,Pretoria,Sinoville,2,2,2,10600
Apartment,Pretoria,Hatfield,2,1,2,8995
Apartment,Pretoria,"Willow Park Manor",2,2,1,10980
Apartment,Pretoria,Arcadia,3,1,1,7500
Apartment,Pretoria,"Blyde Riverwalk Estate",1,1,2,13000
Apartment,Pretoria,"Blyde Riverwalk Estate",2,2,2,13000
Apartment,Pretoria,"Menlo Park",2,3,2,14000
Apartment,Pretoria,Hazeldean,2,2,2,10550
Apartment,Pretoria,Sunnyside,2,2,1,6500
Apartment,Pretoria,Waverley,2,1,4,10250
Apartment,Pretoria,Montana,2,2,2,8900
Apartment,Pretoria,Montana,1,1,2,7000
Apartment,Pretoria,"Pretoria North",2,2,2,6800
Apartment,Pretoria,Waverley,2,1,4,10950
Apartment,Pretoria,Mooikloof,2,2,2,9000
Apartment,Pretoria,Montana,1,1,3,5400
Apartment,Pretoria,Arcadia,2,1,1,7103
Apartment,Pretoria,Equestria,2,2,2,9750
Apartment,Pretoria,Waverley,2,1,1,10950
Apartment,Pretoria,Montana,3,2,1,10000
Apartment,Pretoria,Annlin,2,2,2,11206
Apartment,Pretoria,Sinoville,3,2,1,7250
Apartment,Pretoria,"Blyde Riverwalk Estate",2,1,2,14000
Apartment,Pretoria,"Philip Nel Park",2,1,1,7600
Apartment,Pretoria,Menlyn,1,3,1,30000
Apartment,Pretoria,Brooklyn,1,1,1,9990
Apartment,Pretoria,"Philip Nel Park",2,1,1,7600
Apartment,Pretoria,Hatfield,3,3,2,4499
Apartment,Pretoria,Lynnwood,3,1,2,21900
Apartment,Pretoria,Montana,2,2,2,8900
Apartment,Pretoria,"Menlo Park",1,1,1,12000
Apartment,Pretoria,Equestria,1,1,1,10200
Apartment,Pretoria,Equestria,1,1,1,8900
Apartment,Pretoria,Waterkloof,1,1,1,6000
Apartment,Pretoria,Brooklyn,2,2,1,9500
Apartment,Pretoria,"Philip Nel Park",1,1,1,5100
Apartment,Pretoria,Sinoville,2,2,1,7600
Apartment,Pretoria,Menlyn,3,2,1,14500
Apartment,Pretoria,Brooklyn,2,2,2,16500
Apartment,Pretoria,"Olympus AH",2,1,1,7800
Apartment,Pretoria,"Olympus AH",2,2,2,10500
Apartment,Pretoria,Hatfield,2,1,1,6990
Apartment,Pretoria,Montana,2,1,1,7500
Apartment,Pretoria,"Nieuw Muckleneuk",2,2,2,9650
Apartment,Pretoria,"Willow Park Manor",1,1,1,15000
Apartment,Pretoria,Menlyn,1,1,1,30000
Apartment,Pretoria,Menlyn,1,1,1,30000
Apartment,Pretoria,Mooikloof,2,2,2,11500
Apartment,Pretoria,Annlin,2,1,1,6700
Apartment,Pretoria,Mooikloof,2,2,2,10000
Apartment,Pretoria,"Blyde Riverwalk Estate",2,2,2,11235
Apartment,Pretoria,Hazeldean,2,2,1,9800
Apartment,Pretoria,"Olympus AH",2,2,2,12320
Apartment,Pretoria,"Blyde Riverwalk Estate",1,1,1,9500
Apartment,Pretoria,Mooikloof,1,1,2,8000
Apartment,Pretoria,Mooikloof,2,2,2,11500
Apartment,Pretoria,Menlyn,2,2,2,45000
Apartment,Pretoria,Montana,2,1,1,9600
Apartment,Pretoria,"Willow Park Manor",3,2,3,10500
Apartment,Pretoria,"Olympus AH",2,2,2,13900
Apartment,Pretoria,"Pretoria North",2,1,2,7150
Apartment,Pretoria,"Blyde Riverwalk Estate",1,1,1,7950
Apartment,Pretoria,Waverley,2,2,4,10250
Apartment,Pretoria,"Nieuw Muckleneuk",2,2,2,21500
Apartment,Pretoria,"Olympus AH",2,1,1,8000
Apartment,Pretoria,Sunnyside,5,1,2,1499
Apartment,Pretoria,"Silver Lakes Golf Estate",1,1,1,16000
Apartment,Pretoria,Hazeldean,3,2,2,9500
Apartment,Pretoria,Waterkloof,1,1,1,8500
Apartment,Pretoria,Hazeldean,2,2,1,9500
Apartment,Pretoria,"Menlo Park",2,2,3,19500
Apartment,Pretoria,Sunnyside,1,1,1,3200
Apartment,Pretoria,Hazeldean,2,2,1,9500
Apartment,Pretoria,Montana,1,1,1,5000
Apartment,Pretoria,Brooklyn,2,2,2,13500
Apartment,Pretoria,"Blyde Riverwalk Estate",1,1,1,9500
Apartment,Pretoria,"Olympus AH",2,2,2,16000
Apartment,Pretoria,Menlyn,1,1,1,30000
Apartment,Pretoria,"Blyde Riverwalk Estate",1,1,1,9500
Apartment,Pretoria,"Waterkloof Ridge",2,2,2,10200
