Property_type,Property_city,Property_location,Bedrooms,Bathrooms,Parking_space,property_price_(per_month)
House,Pretoria,"Leeuwenhof Estate",1,1,1,24000
Apartment,Pretoria,Sinoville,1,1,1,10600
Apartment,Pretoria,"Pretoria Central",3,2,2,14000
Town-house,Pretoria,"Mooikloof Ridge",2,1,1,12000
Apartment,Pretoria,"Willow Park Manor",2,1,1,7000
Apartment,Pretoria,Meyerspark,1,1,1,5200
Apartment,Pretoria,Montana,3,3,2,11000
House,Pretoria,Wapadrand,2,2,2,30000
Apartment,Pretoria,Elarduspark,2,1,1,9500
Town-house,Pretoria,"Olympus AH",2,2,3,10500
Apartment,Pretoria,Hillcrest,1,1,1,7000
Town-house,Pretoria,Rietvalleirand,1,1,1,21000
Apartment,Pretoria,Hillcrest,2,2,3,7000
Town-house,Pretoria,Rietvalleirand,4,3,1,13800
Apartment,Pretoria,Hatfield,2,2,2,8500
Apartment,Pretoria,"Olympus AH",2,1,1,10000
Town-house,Pretoria,"Olympus AH",2,2,1,25000
Apartment,Pretoria,Hazeldean,3,3,2,9800
Apartment,Pretoria,Hatfield,2,2,1,3500
Apartment,Pretoria,Hazeldean,2,1,1,8800
Apartment,Pretoria,Hazeldean,2,2,1,9800
Apartment,Pretoria,Hazeldean,2,2,2,8200
House,Pretoria,"Mooikloof Equestrian Estate",2,2,4,70000
Apartment,Pretoria,Hazeldean,5,5,1,8800
Apartment,Pretoria,Hatfield,2,2,1,9500
Apartment,Pretoria,Bronberg,1,1,1,9150
Town-house,Pretoria,Hazeldean,1,1,2,12500
Apartment,Pretoria,Equestria,2,2,1,8000
Apartment,Pretoria,Waverley,2,1,2,9750
Apartment,Pretoria,"Paramount Estate",2,1,1,8500
Apartment,Pretoria,Hazeldean,2,2,1,9500
Apartment,Pretoria,Hazeldean,3,2,8,8800
House,Pretoria,"Lynnwood Glen",2,2,1,25000
Apartment,Pretoria,Hazeldean,4,3,1,8200
House,Pretoria,Annlin,2,2,2,10000
Apartment,Pretoria,Equestria,2,1,1,8600
Apartment,Pretoria,Villieria,2,1,3,5047
Apartment,Pretoria,"Philip Nel Park",1,1,1,6800
Apartment,Pretoria,Wolmer,2,1,1,7800
Apartment,Pretoria,Hatfield,2,1,1,10000
House,Pretoria,Montana,2,2,4,18000
Apartment,Pretoria,Hazeldean,3,2,1,8800
House,Pretoria,"Blyde Riverwalk Estate",2,2,1,13500
Town-house,Pretoria,"Silver Lakes",2,2,2,8200
Town-house,Pretoria,"Lynnwood Manor",2,2,2,17800
Apartment,Pretoria,Waverley,2,2,1,9750
Apartment,Pretoria,"Blyde Riverwalk Estate",2,1,1,8500
Apartment,Pretoria,"Willow Park Manor",1,1,1,9265
Apartment,Pretoria,Hazeldean,1,1,2,8800
Apartment,Pretoria,Erasmusrand,2,2,9,11000
House,Pretoria,"Six Fountains Residential Estate",3,2,1,58000
Apartment,Pretoria,Mooikloof,5,6,2,7500
Apartment,Pretoria,Villieria,1,1,2,5047
Apartment,Pretoria,Boardwalk,1,1,4,9000
Apartment,Pretoria,Montana,1,1,1,10500
Apartment,Pretoria,Hatfield,3,2,3,4700
Apartment,Pretoria,Elarduspark,2,1,1,6000
Apartment,Pretoria,Elarduspark,1,1,1,7500
Apartment,Pretoria,Dorandia,1,1,1,7400
Apartment,Pretoria,"Six Fountains Residential Estate",2,1,1,15000
Apartment,Pretoria,Wolmer,2,2,2,7400
Apartment,Pretoria,Elarduspark,2,1,1,6000
Town-house,Pretoria,"Olympus AH",1,1,1,25000
Apartment,Pretoria,Dorandia,3,3,2,7800
Town-house,Pretoria,"Olympus AH",2,1,1,7600
Town-house,Pretoria,Bronberg,2,1,1,17000
Town-house,Pretoria,"Mooikloof Ridge",3,3,2,7600
Town-house,Pretoria,Wonderboom,2,1,2,16000
Apartment,Pretoria,Rietfontein,3,2,2,4925
Apartment,Pretoria,"Olympus AH",1,1,1,9440
Apartment,Pretoria,Rietfontein,1,1,2,4375
Apartment,Pretoria,Rietfontein,1,1,3,4150
House,Pretoria,"Capital Park",1,1,1,2780
Apartment,Pretoria,Elarduspark,2,1,1,8600
Apartment,Pretoria,Rietvalleirand,2,2,2,11500
Apartment,Pretoria,Waverley,2,2,3,10250
Town-house,Pretoria,Silverton,3,3,1,13500
Apartment,Pretoria,Waverley,2,2,1,10250
Apartment,Pretoria,"Blyde Riverwalk Estate",2,2,4,11000
Apartment,Pretoria,"Blyde Riverwalk Estate",1,1,1,12000
House,Pretoria,Annlin,3,2,1,11000
House,Pretoria,"Montana Tuine",1,1,3,8340
